name,formed,dissipated,mph,damage,deaths
2017 Potential Tropical Cyclone Ten,08/27/2017,09/03/2017,45,1.92M,2
Alberto,05/25/2018,06/01/2018,65,125M,18
Beryl,07/04/2018,07/17/2018,80,1M,0
Chris,07/06/2018,07/17/2018,105,0,1
Florence,08/31/2018,09/18/2018,150,24.2B,24
Gordon,09/03/2018,09/08/2018,70,200M,3
Kirk,09/22/2018,09/28/2018,65,440K,2
Leslie,09/23/2018,10/16/2018,90,500M,17
Michael,10/07/2018,10/16/2018,160,25.5B,74
Barry,07/11/2019,07/19/2019,75,900M,3
Dorian,08/24/2019,09/10/2019,185,5.1B,84
Fernand,09/03/2019,09/05/2019,50,11.3M,1
Humberto,09/13/2019,09/20/2019,125,25M,2
Imelda,09/17/2019,09/19/2019,45,5B,7
Karen,09/22/2019,09/27/2019,45,3.53M,0
Lorenzo,09/23/2019,10/07/2019,160,367M,19
Melissa,10/11/2019,10/14/2019,65,24K,0
Nestor,10/18/2019,10/21/2019,60,150M,3
Pablo,10/25/2019,10/29/2019,80,0,0
Olga,10/25/2019,10/27/2019,45,400M,2
Arthur,05/16/2020,05/21/2020,60,112K,0
Bertha,05/27/2020,05/28/2020,50,130K,1
Amanda and Cristobal,06/01/2020,06/12/2020,60,865M,46
Fay,07/09/2020,07/12/2020,60,220M,6
Hanna,07/23/2020,07/26/2020,90,1.2B,9
Isaias,07/30/2020,08/05/2020,90,5.03B,17
Laura,08/20/2020,08/29/2020,150,23.3B,81
Marco,08/21/2020,08/26/2020,75,35M,0
Paulette,09/07/2020,09/28/2020,105,50M,2
Sally,09/11/2020,09/18/2020,110,7.3B,4
Teddy,09/12/2020,09/24/2020,140,35M,3
2020 Subtropical Storm Alpha,09/17/2020,09/19/2020,50,24.2M,1
Beta,09/17/2020,09/25/2020,65,225M,1
Gamma,10/02/2020,10/06/2020,75,100M,6
Delta,10/04/2020,10/12/2020,140,3.09B,6
Epsilon,10/19/2020,10/26/2020,115,0,1
Zeta,10/24/2020,10/30/2020,115,4.4B,9
Eta,10/31/2020,11/14/2020,150,8.3B,175
Iota,11/13/2020,11/18/2020,155,1.4B,84
Claudette,06/19/2021,06/23/2021,45,375M,4
Danny,06/27/2021,06/29/2021,45,5K,0
Elsa,06/30/2021,07/10/2021,85,1.2B,13
Fred,08/11/2021,08/20/2021,65,1.3B,7
Grace,08/13/2021,08/21/2021,120,513M,16
Henri,08/15/2021,08/21/2021,75,700M,2
Ida,08/26/2021,09/05/2021,150,75.3B,107
Larry,08/31/2021,09/12/2021,125,80M,5
Mindy,09/08/2021,09/11/2021,60,75.2M,23
Nicholas,09/12/2021,09/20/2021,75,1.1B,2
Alex,06/05/2022,06/07/2022,70,0,4
Bonnie,07/01/2022,07/11/2022,115,25M,5
Danielle,09/01/2022,09/15/2022,85,0,0
Earl,09/02/2022,09/15/2022,110,0,2
Fiona,09/14/2022,09/27/2022,140,3.09B,29
Ian,09/23/2022,10/01/2022,160,113B,161
Hermine,09/23/2022,09/26/2022,40,9.8M,0
Julia,10/07/2022,10/10/2022,85,406M,35
Nicole,11/07/2022,11/11/2022,75,1B,11
