ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
275102,S. Magassa,19,France,Monaco,Ligue 1 (Monaco),€2.3M,€7K,56.0,57.2,65.7,10.0,67,CB,188cm,Right
275070,Otávio,21,Brazil,Famalicão,Liga Portugal (Portugal),€2.4M,€2K,39.8,55.6,68.3,10.2,67,CB,187cm,Left
274828,Álex Calvo,19,Spain,FC Andorra,La Liga 2 (Spain),€2.4M,€2K,58.6,74.4,35.3,10.4,67,RW,170cm,Left
274724,V. Kabaev,27,Ukraine,Dynamo Kyiv,Premier League (Ukraine),€1.1M,€500,52.0,73.4,31.7,11.2,67,LM,177cm,Right
274439,A. Baron,30,France,Servette,Super League (Switzerland),€875K,€5K,48.6,67.4,64.7,10.8,67,LB,180cm,Left
274401,J. Bisanz,21,Argentina,Banfield,Liga Profesional (Argentina),€2.3M,€4K,59.4,71.0,47.0,10.8,67,RM,180cm,Right
274357,Alarcón,19,Spain,FC Barcelona,La Liga (Spain),€2.4M,€22K,65.6,65.8,15.3,10.6,67,ST,175cm,Right
274343,Gabriel Poveda,23,Brazil,Bolívar,Liga De Futbol Prof (Bolivia),€1.6M,€500,59.4,66.4,16.7,9.4,67,ST,183cm,Right
274270,Rui Modesto,23,Portugal,AIK,Allsvenskan (Sweden),€1.6M,€3K,54.4,75.4,57.7,8.0,67,RM,180cm,Right
274213,D. Lončar,26,Croatia,Pogoń Szczecin,Ekstraklasa (Poland),€1.3M,€3K,45.8,55.8,67.7,8.6,67,CB,189cm,Right
274208,I. Kostis,20,Cyprus,Atlético Madrid,La Liga (Spain),€2.3M,€10K,40.0,54.8,66.0,9.6,67,CB,192cm,Left
274173,A. Trasino,30,Colombia,Independiente Medellín,Liga BetPlay (Colombia),€1M,€1K,59.8,59.2,16.0,10.0,67,ST,185cm,Right
274169,A. Barduaga,30,Uruguay,Wanderers,Primera Division (Uruguay),€1M,€500,57.6,62.2,13.3,9.4,67,ST,185cm,Right
274167,A. Gamozeno,26,Uruguay,Wanderers,Primera Division (Uruguay),€1.1M,€500,57.2,65.2,21.7,10.8,67,RW,177cm,Right
274164,F. Carvanna,30,Uruguay,Wanderers,Primera Division (Uruguay),€975K,€500,56.2,63.2,48.3,10.6,67,CM,183cm,Right
274163,H. Sarnoga,30,Uruguay,Wanderers,Primera Division (Uruguay),€850K,€500,46.0,61.6,64.0,10.6,67,CDM,181cm,Right
274161,R. Bardana,30,Uruguay,Wanderers,Primera Division (Uruguay),€825K,€500,37.4,57.8,70.0,11.4,67,CB,181cm,Right
274156,N. Donadinna,30,Uruguay,Wanderers,Primera Division (Uruguay),€875K,€500,50.0,65.6,67.3,9.8,67,RB,172cm,Right
274143,I. Mustapha,23,Ghana,LASK Linz,Bundesliga (Austria),€1.6M,€8K,57.2,81.2,36.0,10.4,67,ST,180cm,Right
274046,L. Ferreira,23,Uruguay,Danubio,Primera Division (Uruguay),€1.5M,€500,53.6,61.0,66.3,10.8,67,CB,189cm,Right
274011,J. Castillo,27,Peru,Alianza Lima,Primera Division (Peru),€1.2M,€500,53.8,61.2,67.0,9.6,67,CDM,175cm,Right
274000,E. Saad,23,Tunisia,St. Pauli,2. Bundesliga (Germany),€1.6M,€6K,59.2,71.2,34.0,9.6,67,LM,185cm,Right
273993,O. Brizuela,31,Argentina,Nacional Asunción,Primera División (Paraguay),€700K,€500,49.2,47.8,69.0,9.8,67,CB,191cm,Right
273992,J. Alfaro,22,Argentina,Nacional Asunción,Primera División (Paraguay),€1.4M,€500,54.6,65.8,66.0,9.0,67,CDM,174cm,Right
273981,R. Farías,28,Ecuador,Deportivo Cuenca,Liga Pro (Ecuador),€925K,€500,51.8,74.0,64.7,11.6,67,LB,176cm,Right
273975,I. Housni,18,France,Paris Saint Germain,Ligue 1 (France),€2.4M,€9K,60.4,69.8,21.3,10.8,67,ST,172cm,Right
273962,M. Soumano,17,France,Ajaccio,Ligue 2 (France),€2.1M,€650,59.0,68.2,23.3,11.0,67,ST,185cm,Right
273951,A. Dattola,23,Argentina,Barracas Central,Liga Profesional (Argentina),€1.4M,€3K,45.0,67.0,67.7,10.2,67,CB,190cm,Right
273917,G. Aurelio,23,Italy,Palermo,Serie B (Italy),€2.2M,€2K,65.0,75.0,60.7,10.4,67,ST,186cm,Left
273904,F. Sánchez,19,Argentina,Gimnasia La Plata,Liga Profesional (Argentina),€2.1M,€3K,45.6,62.0,69.0,11.0,67,CB,184cm,Right
273895,E. Toku,22,Ghana,OH Leuven,Jupiler Pro League (Belgium),€1.6M,€5K,54.6,68.6,41.3,13.0,67,CAM,173cm,Left
273888,F. Bamgboye,24,Nigeria,Rapid Bucuresti,Liga 1 (Romania),€1.5M,€4K,56.2,77.6,35.3,10.0,67,RM,173cm,Right
273884,C. Ordoñez,18,Argentina,Vélez Sarsfield,Liga Profesional (Argentina),€2M,€1K,49.2,68.0,64.0,8.6,67,CDM,178cm,Right
273860,T. Jones,25,Chile,Magallanes,Primera Division (Chile),€1.2M,€2K,56.2,69.6,33.7,9.4,67,CAM,171cm,Left
273840,Beni,21,Angola,Casa Pia,Liga Portugal (Portugal),€2.3M,€2K,55.0,65.0,68.3,10.0,67,CM,180cm,Right
273832,D. Hernández,23,Colombia,Deportivo Pereira,Liga BetPlay (Colombia),€2.1M,€600,41.2,54.4,67.3,9.2,67,CB,189cm,Right
273830,R. Biojó,23,Ecuador,Deportivo Cuenca,Liga Pro (Ecuador),€1.3M,€500,44.4,62.8,66.0,10.2,67,CB,180cm,Right
273826,C. Garcés,21,Colombia,Deportivo Pereira,Liga BetPlay (Colombia),€2.1M,€500,45.6,58.6,65.3,9.0,67,CB,186cm,Right
273757,J. Almeida,24,Ecuador,Deportivo Cuenca,Liga Pro (Ecuador),€1.6M,€500,59.2,74.4,42.0,10.6,67,LM,174cm,Left
273742,W. Cundumín,26,Uruguay,Cerro Largo,Primera Division (Uruguay),€1.1M,€500,62.4,69.6,47.7,10.2,67,RM,171cm,Left
273738,R. Oliverano,30,Uruguay,Cerro Largo,Primera Division (Uruguay),€875K,€500,53.8,71.6,62.0,9.8,67,RB,176cm,Right
273734,O. Agudelos,26,Uruguay,Cerro Largo,Primera Division (Uruguay),€975K,€500,53.0,60.8,69.0,10.6,67,CB,185cm,Left
273731,R. Formento,23,Uruguay,River Plate,Primera Division (Uruguay),€1.3M,€500,10.8,43.0,9.0,66.8,67,GK,182cm,Right
273682,I. Valdez,27,Paraguay,Tacuary,Primera División (Paraguay),€1.1M,€500,54.2,68.0,43.7,7.2,67,RM,180cm,Right
273671,J. Valverde,24,Ecuador,LDU Quito,Liga Pro (Ecuador),€1.5M,€500,52.4,71.0,65.3,9.2,67,CDM,176cm,Right
273661,F. González,19,Uruguay,Danubio,Primera Division (Uruguay),€2.4M,€500,56.2,72.8,33.7,10.2,67,CAM,165cm,Right
273605,S. Homenchenko,19,Uruguay,Peñarol,Primera Division (Uruguay),€2.4M,€500,57.4,66.0,63.3,10.8,67,CDM,185cm,Left
273604,L. Rodríguez,19,Uruguay,Liverpool,Primera Division (Uruguay),€2.4M,€500,62.2,72.4,35.0,12.8,67,ST,179cm,Right
273458,Matheus Martins,19,Brazil,Watford,Championship (England),€2.6M,€3K,63.8,65.4,25.3,9.6,67,CAM,179cm,Right
273131,Y. Hurtado,25,Colombia,Rionegro Águilas,Liga BetPlay (Colombia),€1.2M,€650,52.6,69.8,64.3,11.4,67,RB,170cm,Right
272990,B. Oyola,27,Argentina,Delfin,Liga Pro (Ecuador),€1.1M,€500,59.4,72.2,40.0,10.6,67,RM,156cm,Left
272953,A. Duarte,19,Uruguay,Defensor Sporting,Primera Division (Uruguay),€2.4M,€500,59.8,73.4,33.0,9.6,67,LM,175cm,Left
272946,R. Insua,25,Argentina,Barracas Central,Liga Profesional (Argentina),€1.4M,€4K,58.0,67.8,61.3,9.2,67,LWB,181cm,Left
272945,N. Capraro,25,Argentina,Barracas Central,Liga Profesional (Argentina),€1.4M,€4K,47.0,62.8,67.3,10.4,67,CB,184cm,Right
272910,S. Corda,28,Argentina,Instituto,Liga Profesional (Argentina),€925K,€4K,49.6,71.4,65.0,13.0,67,LB,170cm,Left
272902,T. Sultani,25,Argentina,Arsenal de Sarandi,Liga Profesional (Argentina),€1.1M,€3K,20.0,49.6,13.0,66.4,67,GK,185cm,Right
272855,Wagner Leonardo,22,Brazil,Portimonense,Liga Portugal (Portugal),€2.1M,€2K,43.2,56.8,67.7,8.6,67,CB,186cm,Left
272690,G. Mottes,25,Argentina,Deportivo Táchira,Primera Division (Venezuela),€1.2M,€500,54.6,60.4,63.3,12.2,67,CB,192cm,Left
272677,B. Gil,22,El Salvador,Deportes Tolima,Liga BetPlay (Colombia),€2.3M,€850,59.6,61.6,12.3,11.6,67,ST,185cm,Right
272569,K. Rodríguez,23,Ecuador,Union Saint-Gilloise,Jupiler Pro League (Belgium),€1.6M,€6K,59.6,72.6,17.3,10.6,67,ST,190cm,Right
271980,W. Clem,19,Denmark,København,Superliga (Denmark),€2.3M,€4K,53.0,59.4,64.0,10.6,67,CDM,191cm,Right
271969,N. Paz,20,Argentina,Unión Santa Fe,Liga Profesional (Argentina),€2.1M,€3K,49.6,66.6,68.7,10.2,67,CB,179cm,Right
271919,S. Moreyra,22,Argentina,Colón,Liga Profesional (Argentina),€2.2M,€4K,53.2,66.8,66.7,9.4,67,CDM,179cm,Right
271779,C. Mailula,22,South Africa,Toronto,Major League Soccer (Canada),€2.3M,€3K,58.0,75.8,28.7,12.0,67,CAM,166cm,Right
271576,Zé Carlos,21,Portugal,Vitória SC,Liga Portugal (Portugal),€2.4M,€2K,47.8,74.6,62.7,11.6,67,RWB,172cm,Right
271575,S. Pafundi,17,Italy,Udinese,Serie A (Italy),€2.5M,€750,61.6,79.0,40.7,8.6,67,CAM,164cm,Left
271572,A. Fontanarosa,20,Italy,Cosenza,Serie B (Italy),€2.3M,€13K,60.4,68.0,67.3,10.8,67,CB,185cm,Left
271453,E. Reyes,24,Dominican Republic,Always Ready,Liga De Futbol Prof (Bolivia),€1.4M,€500,56.2,73.4,25.3,10.6,67,LM,180cm,Left
271452,B. Bouchouari,21,Morocco,Saint-Étienne,Ligue 2 (France),€2.5M,€2K,56.2,69.2,53.3,8.0,67,CAM,165cm,Right
271378,N. Karić,22,Sweden,Benevento,Serie B (Italy),€2.1M,€2K,53.6,65.4,58.7,9.4,67,CM,183cm,Right
271352,E. Moubarik,22,Morocco,Al Ain,Pro League (United Arab Emirates),€1.5M,€500,48.8,65.4,63.3,9.0,67,CDM,177cm,Right
271320,T. Adamsen,28,Denmark,Silkeborg,Superliga (Denmark),€1M,€5K,57.8,71.2,24.3,11.0,67,ST,180cm,Left
271318,Cuca Fernandes,31,Portugal,Casa Pia,Liga Portugal (Portugal),€725K,€2K,59.8,64.2,67.7,12.8,67,CDM,177cm,Right
271285,Benny Sousa,23,Portugal,Chaves,Liga Portugal (Portugal),€1.5M,€3K,60.0,71.8,31.7,10.6,67,CAM,178cm,Left
271275,Teto,21,Spain,Tenerife,La Liga 2 (Spain),€2.3M,€3K,59.0,67.2,58.7,9.2,67,RM,175cm,Right
271143,K. Hiebert,25,Canada,Saint Louis City,Major League Soccer (United States),€1.3M,€3K,42.0,60.6,65.3,11.4,67,CB,183cm,Right
271057,Gustavo Sá,18,Portugal,Famalicão,Liga Portugal (Portugal),€2.4M,€1K,64.0,63.0,64.0,9.6,67,CAM,186cm,Right
270999,D. Kameri,19,Austria,Salzburg,Bundesliga (Austria),€2.4M,€4K,60.0,70.4,36.7,11.0,67,CAM,181cm,Right
270969,M. Arai,25,Japan,Gil Vicente,Liga Portugal (Portugal),€1.3M,€4K,55.6,74.6,53.0,8.8,67,CAM,170cm,Right
270910,S. Natiq,29,Iraq,Abha,Pro League (Saudi Arabia),€850K,€5K,38.4,48.0,63.7,11.2,67,CB,188cm,Right
270907,M. Meisl,22,Austria,Austria Wien,Bundesliga (Austria),€1.9M,€5K,41.8,58.4,66.7,9.0,67,CB,184cm,Left
270900,A. Hoti,20,Kosovo,Magdeburg,2. Bundesliga (Germany),€2.1M,€3K,41.4,58.8,67.3,9.8,67,CB,191cm,Right
270889,Jonny Arriba,21,Spain,Villarreal II,La Liga 2 (Spain),€2.3M,€2K,56.4,70.0,59.0,7.8,67,CAM,176cm,Right
270885,M. Ndiaye,22,Senegal,Estoril,Liga Portugal (Portugal),€1.4M,€2K,53.2,60.6,66.3,11.6,67,CB,185cm,Right
270872,J. Vallejo,19,Argentina,Talleres Córdoba,Liga Profesional (Argentina),€2.4M,€3K,58.2,70.0,38.7,9.6,67,RM,170cm,Right
270867,A. Mazilu,17,Romania,SSC Farul,Liga 1 (Romania),€2.5M,€1K,56.4,72.2,32.0,10.6,67,CAM,186cm,Left
270863,S. Borza,17,Romania,Rapid Bucuresti,Liga 1 (Romania),€2.4M,€500,60.0,72.6,61.0,8.4,67,CAM,183cm,Left
270824,Arthur Sales,19,Brazil,Paços de Ferreira,Liga Portugal (Portugal),€2.2M,€2K,60.2,62.4,18.7,9.8,67,ST,184cm,Left
270703,I. Chetti,27,Algeria,Angers SCO,Ligue 2 (France),€975K,€7K,47.2,65.2,69.7,8.6,67,LB,176cm,Left
270686,Daniel Silva,23,Portugal,Vitória SC,Liga Portugal (Portugal),€2.3M,€3K,51.0,67.2,61.3,9.0,67,CM,180cm,Right
270638,T. Oshima,25,Japan,Cracovia Kraków,Ekstraklasa (Poland),€1.5M,€4K,57.2,69.6,55.0,9.8,67,CAM,174cm,Right
270555,Gustavo Klismahn,22,Brazil,Portimonense,Liga Portugal (Portugal),€2.1M,€3K,62.4,63.6,65.3,10.0,67,CM,180cm,Left
270507,L. Belardinelli,22,Italy,Empoli,Serie A (Italy),€2.2M,€3K,56.0,62.6,64.7,10.2,67,CDM,190cm,Right
270497,S. Hamulić,22,Bosnia and Herzegovina,Vitesse,Eredivisie (Netherlands),€2.3M,€8K,61.4,74.0,25.3,8.0,67,ST,188cm,Right
270473,N. Rauti,23,Italy,Südtirol,Serie B (Italy),€2.3M,€13K,59.8,64.4,19.3,10.4,67,ST,180cm,Right
270414,N. Rossi,21,Uruguay,Peñarol,Primera Division (Uruguay),€2.3M,€500,58.8,75.0,36.7,9.6,67,RM,177cm,Right
270387,H. Šabanović,23,Bosnia and Herzegovina,Angers SCO,Ligue 2 (France),€1.5M,€2K,49.6,62.0,69.0,9.4,67,CB,182cm,Right
270339,Diego Rosa,19,Brazil,Vizela,Liga Portugal (Portugal),€2.4M,€18K,54.8,66.6,60.0,9.8,67,CM,178cm,Right
270328,D. Rrudhani,24,Kosovo,Young Boys,Super League (Switzerland),€1.5M,€7K,63.8,67.6,36.0,9.2,67,LM,188cm,Left
270276,S. Sithebe,29,South Africa,Kaizer Chiefs,Premier League (South Africa),€1M,€500,58.8,74.6,57.3,10.2,67,CAM,170cm,Right
270204,Diogo Abreu,19,Portugal,Sporting CP,Liga Portugal (Portugal),€2.4M,€3K,57.0,63.0,50.7,8.6,67,CAM,186cm,Right
270203,Yago Cariello,23,Brazil,Gangwon,K League 1 (Korea Republic),€1.6M,€3K,59.2,60.6,19.7,9.2,67,ST,186cm,Left
270133,S. Diakité,23,France,Ternana,Serie B (Italy),€2.1M,€1K,52.8,60.6,66.7,10.2,67,CB,186cm,Right
270131,N. Corrado,23,Italy,Ternana,Serie B (Italy),€1.5M,€2K,58.0,68.8,65.7,9.4,67,CM,179cm,Left
270104,A. Bettaieb,25,Tunisia,Ümraniyespor,Super Lig (Turkey),€1.4M,€6K,57.8,62.6,18.7,11.6,67,ST,184cm,Right
270075,I. Cortez,23,Argentina,Rosario Central,Liga Profesional (Argentina),€2.2M,€5K,47.4,64.2,67.3,11.2,67,RB,185cm,Right
270060,Samuel Soares,21,Portugal,Benfica,Liga Portugal (Portugal),€2.2M,€2K,19.6,52.8,13.7,68.6,67,GK,190cm,Right
270039,Diego Moreira,18,Portugal,Olympique Lyonnais,Ligue 1 (France),€2.4M,€10K,53.4,81.4,30.7,9.4,67,LM,179cm,Left
269947,K. Spadanuda,26,Switzerland,Luzern,Super League (Switzerland),€1.2M,€4K,63.8,67.2,34.0,7.4,67,LM,177cm,Right
269899,N. Miroshi Dismas,20,Tanzania,Shakhtar Donetsk,Premier League (Ukraine),€2.1M,€500,54.0,70.0,61.7,10.0,67,LB,182cm,Left
269744,Rui Mendes,22,Portugal,FC Emmen,Eredivisie (Netherlands),€1.6M,€3K,61.4,72.6,28.3,10.2,67,RM,179cm,Right
269653,A. Pejić,23,Serbia,Rapid Wien,Bundesliga (Austria),€1.5M,€6K,51.6,51.6,64.0,9.2,67,CB,190cm,Right
269558,B. Domínguez,19,Argentina,Gimnasia La Plata,Liga Profesional (Argentina),€2.4M,€3K,56.0,68.0,33.3,9.0,67,CAM,172cm,Right
269490,Magrão,23,Brazil,Rio Ave,Liga Portugal (Portugal),€2M,€2K,12.2,33.6,11.7,65.8,67,GK,197cm,Right
269436,R. El Yaakoubi,27,Netherlands,Excelsior,Eredivisie (Netherlands),€1.2M,€3K,50.6,64.8,65.7,10.0,67,CB,183cm,Right
269424,S. Mino,28,Japan,Hermannstadt,Liga 1 (Romania),€975K,€3K,48.2,63.2,65.0,8.8,67,CDM,181cm,Right
269419,Kevin Pina,25,Cape Verde Islands,Chaves,Liga Portugal (Portugal),€1.1M,€3K,61.0,57.2,62.3,10.0,67,CDM,190cm,Right
269412,V. Țicu,22,Romania,Petrolul 52,Liga 1 (Romania),€2.2M,€2K,53.4,71.0,61.7,9.0,67,LB,181cm,Left
269361,A. Silipo,22,Italy,Palermo,Serie B (Italy),€2.3M,€2K,60.6,76.0,32.3,7.8,67,CAM,170cm,Left
269305,R. Fellhauer,25,Germany,Elversberg,2. Bundesliga (Germany),€1.2M,€4K,52.8,69.0,60.7,10.2,67,RWB,182cm,Right
269301,N. Kristof,23,Austria,Elversberg,2. Bundesliga (Germany),€1.3M,€3K,12.2,30.8,14.0,68.0,67,GK,187cm,Right
269296,G. Durbant,30,France,Laval,Ligue 2 (France),€1M,€3K,58.4,64.4,14.7,10.2,67,ST,183cm,Right
269246,M. Eerdhuijzen,22,Netherlands,Sparta Rotterdam,Eredivisie (Netherlands),€2.1M,€3K,46.0,57.6,65.0,8.8,67,CB,191cm,Left
269156,O. Moxon,25,England,Carlisle United,League One (England),€1.4M,€3K,57.2,66.8,63.7,12.4,67,CDM,186cm,Right
269089,José Marsà,21,Spain,FC Andorra,La Liga 2 (Spain),€2.4M,€2K,48.6,65.2,65.7,7.0,67,CB,183cm,Left
268934,N. Bonfanti,21,Italy,Modena,Serie B (Italy),€2.3M,€1K,59.2,68.4,29.0,11.2,67,ST,178cm,Right
268896,H. Larsson,19,Sweden,Eintracht Frankfurt,Bundesliga (Germany),€2.6M,€7K,55.0,70.4,58.0,9.6,67,CM,187cm,Right
268879,A. Fathi,30,Qatar,No Team,Free Agent,€0,€0,47.2,71.2,65.7,8.2,67,CDM,171cm,Right
268862,D. Stavropoulos,26,Greece,Warta Poznań,Ekstraklasa (Poland),€1.3M,€2K,43.4,50.2,64.7,7.8,67,CB,191cm,Right
268783,M. Barsham,25,Qatar,No Team,Free Agent,€0,€0,10.4,57.4,11.0,64.0,67,GK,180cm,Right
268782,B. Al Rawi,25,Qatar,No Team,Free Agent,€0,€0,51.6,70.2,68.0,9.6,67,CB,175cm,Right
268758,M. Rover,24,Italy,Südtirol,Serie B (Italy),€1.6M,€1K,62.0,70.8,40.3,9.0,67,RM,185cm,Right
268728,A. Salah-Eddine,21,Netherlands,Ajax,Eredivisie (Netherlands),€2.2M,€4K,47.2,69.8,63.3,12.6,67,LB,179cm,Left
268716,D. Chacón,21,Costa Rica,Costa Rica, (Costa Rica),€0,€0,39.8,58.4,68.7,8.2,67,CB,183cm,Right
268715,A. Martínez,24,Costa Rica,New York City,Major League Soccer (United States),€1.5M,€3K,54.8,67.4,27.3,11.4,67,RM,173cm,Right
268468,A. Barisic,22,Bosnia and Herzegovina,Basel,Super League (Switzerland),€2.1M,€4K,41.2,49.2,71.0,10.6,67,CB,192cm,Right
268395,V. Kochergin,27,Ukraine,Raków Częstochowa,Ekstraklasa (Poland),€1.2M,€4K,62.6,67.4,35.7,7.6,67,CM,178cm,Right
268293,E. Camargo,20,Colombia,Deportivo Cali,Liga BetPlay (Colombia),€2.4M,€1K,61.2,65.0,61.0,11.8,67,CM,180cm,Right
268131,C. Egan-Riley,20,England,Burnley,Premier League (England),€2.3M,€10K,48.0,61.6,66.0,8.0,67,CB,183cm,Right
268098,P. Baráth,21,Hungary,Ferencváros,NB I. (Hungary),€2.2M,€500,53.8,62.4,64.3,8.4,67,CDM,185cm,Right
268007,D. Romero,22,Ecuador,LDU Quito,Liga Pro (Ecuador),€1.5M,€500,49.2,73.8,64.3,9.0,67,RB,177cm,Right
267902,D. Glaby,26,Argentina,Barracas Central,Liga Profesional (Argentina),€1.2M,€4K,55.6,58.8,64.3,10.8,67,CDM,178cm,Right
267873,K. Arriaga,25,Honduras,Minnesota United,Major League Soccer (United States),€1.3M,€3K,52.6,60.0,62.7,10.2,67,CB,191cm,Right
267864,B. Zimmermann,21,Austria,Wolfsberger AC,Bundesliga (Austria),€2.3M,€6K,60.8,71.0,28.0,11.6,67,ST,179cm,Right
267829,Y. Challouk,27,Belgium,Kortrijk,Jupiler Pro League (Belgium),€1.1M,€5K,60.4,71.6,22.7,10.2,67,CAM,173cm,Right
267701,N. Ferreira,20,Uruguay,Wanderers,Primera Division (Uruguay),€2M,€500,63.0,67.6,27.0,10.4,67,RW,171cm,Right
267685,K. Eriksen,27,Norway,Molde,Eliteserien (Norway),€1.1M,€3K,61.2,71.2,41.0,11.4,67,CAM,177cm,Right
267632,L. Pászka,27,Hungary,Ferencváros,NB I. (Hungary),€1.1M,€500,52.2,74.6,60.7,11.0,67,LB,176cm,Left
267626,M. Galarza,21,Argentina,Genk,Jupiler Pro League (Belgium),€2.2M,€4K,58.6,72.2,61.0,11.0,67,CAM,180cm,Right
267603,J. Durán,31,Peru,Deportivo Binacional,Primera Division (Peru),€850K,€500,62.8,72.0,49.7,9.8,67,RM,165cm,Right
267597,L. Morales,23,Uruguay,Nacional,Primera Division (Uruguay),€1.5M,€500,55.6,70.8,64.0,11.2,67,RB,183cm,Right
267409,R. Saravia,22,Uruguay,Gimnasia La Plata,Liga Profesional (Argentina),€2.2M,€5K,54.8,64.8,63.3,11.6,67,CDM,173cm,Right
266728,D. Bîrligea,23,Romania,CFR Cluj,Liga 1 (Romania),€2.3M,€6K,58.4,71.4,20.7,10.6,67,ST,182cm,Right
266672,D. Pino,26,Colombia,América de Cali,Liga BetPlay (Colombia),€1.2M,€1K,55.8,61.2,69.7,10.4,67,CB,173cm,Right
266668,L. Loor,21,Ecuador,Universidad Católica,Liga Pro (Ecuador),€2.2M,€500,56.4,73.0,62.0,9.8,67,LM,170cm,Left
266667,M. Alonso,28,Uruguay,Mushuc Runa,Liga Pro (Ecuador),€1M,€500,58.2,71.0,39.7,9.0,67,RM,166cm,Right
266656,Igor,23,Brazil,Portimonense,Liga Portugal (Portugal),€1.4M,€2K,54.4,67.4,64.0,10.6,67,RWB,185cm,Right
266637,C. Kourfalidis,20,Greece,FeralpiSalò,Serie B (Italy),€2.2M,€6K,58.8,70.8,58.3,11.0,67,RM,178cm,Right
266609,T. Iroegbunam,20,England,Aston Villa,Premier League (England),€2.3M,€15K,57.2,64.6,63.7,9.8,67,CDM,183cm,Right
266596,J. Fazzini,20,Italy,Empoli,Serie A (Italy),€2.7M,€3K,58.6,71.8,58.0,10.2,67,RM,178cm,Right
266567,V. Musliu,28,North Macedonia,Paderborn,2. Bundesliga (Germany),€975K,€7K,45.4,65.6,66.0,8.4,67,CB,187cm,Right
266531,M. Alfonso,23,Paraguay,River Plate,Primera Division (Uruguay),€1.6M,€500,52.8,65.4,66.7,9.6,67,CM,171cm,Left
266459,S. Ogrinec,25,Slovenia,WSG Tirol,Bundesliga (Austria),€1.5M,€4K,57.6,69.6,46.0,10.0,67,CAM,183cm,Right
266458,D. Polanco,23,Colombia,La Equidad,Liga BetPlay (Colombia),€2.1M,€650,43.0,57.8,68.3,9.2,67,CB,177cm,Right
266453,Gonçalo Borges,22,Portugal,Porto,Liga Portugal (Portugal),€2.5M,€4K,54.0,73.6,26.7,10.4,67,RM,184cm,Right
266395,P. Otele,24,Nigeria,CFR Cluj,Liga 1 (Romania),€1.5M,€5K,55.0,79.6,24.3,9.4,67,RM,185cm,Right
266277,V. Bichakhchyan,23,Armenia,Pogoń Szczecin,Ekstraklasa (Poland),€1.5M,€3K,63.4,72.2,54.3,10.4,67,CAM,172cm,Left
266183,J. Njinmah,22,Germany,Werder Bremen,Bundesliga (Germany),€2.3M,€8K,58.2,80.6,19.3,8.8,67,ST,179cm,Right
266171,J. Pintado,25,Uruguay,Defensor Sporting,Primera Division (Uruguay),€1.2M,€500,44.4,78.4,65.7,8.8,67,RB,173cm,Right
266120,Y. Celi,21,Peru,Universitario,Primera Division (Peru),€1.5M,€500,57.6,70.8,54.7,8.6,67,CAM,177cm,Left
266036,D. Robles,30,Paraguay,Always Ready,Liga De Futbol Prof (Bolivia),€825K,€500,49.2,58.6,66.0,12.4,67,CB,184cm,Right
265801,K. McAteer,21,England,Leicester City,Championship (England),€2.3M,€12K,58.4,74.4,48.7,7.6,67,RM,177cm,Right
265786,D. Enríquez,21,Peru,Deportivo Binacional,Primera Division (Peru),€2M,€500,14.2,41.2,12.7,65.8,67,GK,185cm,Right
265761,C. Volpato,19,Italy,Sassuolo,Serie A (Italy),€2.6M,€3K,58.0,61.8,41.0,9.6,67,CAM,187cm,Left
265748,Butzke,24,Spain,Vitória SC,Liga Portugal (Portugal),€1.5M,€4K,58.8,63.0,17.0,10.0,67,ST,193cm,Right
265740,L. Garro,26,Peru,Cienciano,Primera Division (Peru),€1.1M,€500,57.8,69.2,64.3,12.0,67,RB,175cm,Right
265704,W. González,29,Colombia,Academia Puerto Cabello,Primera Division (Venezuela),€1M,€500,61.4,70.2,47.0,9.6,67,RM,178cm,Left
265671,Dani Tasende,22,Spain,Villarreal II,La Liga 2 (Spain),€2.2M,€2K,59.0,65.8,64.7,7.2,67,LWB,172cm,Left
265667,J. Alman,28,Ecuador,Delfin,Liga Pro (Ecuador),€1M,€500,63.6,70.0,51.0,8.8,67,ST,192cm,Right
265617,B. Delgado,26,Ecuador,Mushuc Runa,Liga Pro (Ecuador),€1.1M,€500,60.2,72.0,38.0,8.8,67,LM,171cm,Left
265588,A. Tibidi,19,France,NEC,Eredivisie (Netherlands),€2.2M,€2K,62.0,69.6,27.7,8.8,67,CAM,187cm,Right
265576,L. Querfeld,19,Austria,Rapid Wien,Bundesliga (Austria),€2.3M,€4K,42.0,56.2,65.7,10.8,67,CB,190cm,Right
265530,R. Jaramillo,25,Ecuador,Delfin,Liga Pro (Ecuador),€1.4M,€500,56.4,63.6,64.0,8.8,67,CM,177cm,Left
265504,D. Luna,32,Ecuador,LDU Quito,Liga Pro (Ecuador),€800K,€500,60.8,73.6,48.7,8.0,67,LM,165cm,Left
265429,J. Guivin,24,Peru,Universitario,Primera Division (Peru),€1.5M,€500,60.6,64.8,57.0,9.2,67,CM,170cm,Right
265427,A. Quintana,22,Peru,Cienciano,Primera Division (Peru),€2.2M,€500,53.6,71.6,60.7,7.6,67,LWB,168cm,Left
265396,Carlos Martín,21,Spain,Mirandés,La Liga 2 (Spain),€2.5M,€12K,59.6,70.4,24.0,11.4,67,ST,180cm,Right
265194,Iker Bravo,18,Spain,Real Madrid,La Liga (Spain),€2.6M,€7K,60.6,65.0,18.0,8.0,67,ST,184cm,Right
